return,EMA5,EMA20,RSI,label
,,,,
-0.0003358114496205822,48398.98672586408,48399.01358154097,54.250133217549184,0
0.00016125979348413644,48393.24934284464,48396.96026245985,51.33671316560129,0
0.000813273909086254,48402.55848946735,48399.777905315816,55.20622989149864,-1
-0.0007754230581388244,48396.23523524809,48397.93275833883,49.897062246012275,0
-0.0002583519952282787,48387.853563418656,48394.92882391765,49.511493231960785,0
0.0011732211623642907,48401.19024050013,48398.55413738862,61.27926749509483,-1
-0.0007723312627595513,48397.60918196547,48397.67474123479,51.91012437190406,0
-0.0007263507172895478,48383.50449653447,48393.13728363887,43.029283252367904,0
0.00046425559116158865,48381.586160090024,48391.50887919602,44.103811265155414,0
-0.0003813575197275654,48374.15725917625,48388.13608012045,39.815621499564394,1
-0.0002533121819815465,48365.12140869526,48383.87407719022,42.43282677075833,1
0.00963347282768745,48514.35180610772,48427.99408749758,71.38477333308217,1
0.0015446447713149958,48638.96980371644,48474.97330340487,77.89285111930604,1
-0.00017178864499434177,48719.24773820601,48516.01843231311,78.95237787213595,1
0.0023557468659767267,48811.14895063101,48564.27997426384,82.87742346463924,0
0.0005888680968151316,48882.0332638391,48610.330866272234,83.25078902646274,0
0.00014581565252136386,48931.672088056854,48652.274397320405,82.67286738636317,0
-0.0007209253912726643,48952.981962263686,48686.357833076654,82.86815980934318,0
0.0005459673755792149,48976.10519807279,48719.57917414442,84.4488433023944,0
-0.00019793267133727532,48988.28629043012,48748.45136155238,82.5539928154546,0
-0.00017135245222887896,48993.60753060784,48773.56942402336,85.30872353525412,1
0.0009927391501758365,49013.37117528717,48800.917188202155,89.51537600290305,0
0.0007440946643857416,49038.713603759985,48829.08587493595,89.67965639511077,-1
-0.0015634740380393586,49030.02521323871,48846.9667665073,84.20514456564864,0
-0.00123437524656822,49004.06628447097,48857.1903407043,80.15558142522863,1
0.0009243720948790557,49001.84366861297,48870.79178160178,65.83732698816985,1
0.0006419345925094966,49010.846300451434,48886.097890745245,63.05121606437348,1
0.0011288793126114083,49035.29727420043,48905.25088916362,67.44618708490037,1
0.0010532761983055305,49068.83099619886,48927.51837772731,63.49189730857532,0
0.00032364003214935266,49096.48759170998,48949.14312788784,62.56383908715857,0
-0.000534059781793661,49106.175321672024,48966.131877273576,58.95000591296122,1
0.0012010043462458153,49132.300475072116,48987.14407955313,67.11024329505982,1
0.0005123401220450408,49158.11698351807,49008.53846952426,67.01760858152305,1
0.0017242835515318689,49203.611843339255,49036.00773491528,72.52921494206952,1
0.00016228957627051344,49236.608416470466,49061.58732643609,73.8547067274658,1
0.0016469560667515815,49285.67253814059,49092.481619397295,75.14828734792754,1
0.0027508546142842594,49363.664504675275,49133.412659774476,78.40871574777154,0
-0.0009622127580356521,49399.77633647535,49165.83717043687,81.54243962104223,1
0.00105410004649098,49441.23370350283,49200.13248575578,89.73343174072546,1
0.0004533773059891555,49476.35632317944,49233.27857450081,89.39764167862268,1
0.0024118707687601493,49539.604736299356,49274.66818668201,90.58674840276258,0
0.0009865884065480834,49598.10367837429,49316.76918029274,90.51001519962678,0
-0.00040134937620339706,49630.45193141916,49352.925704362795,87.43541470557473,0
0.000498036544374747,49660.26743344793,49387.981108123604,87.5824999353955,0
-0.0001779500064973405,49677.19521604931,49418.83375238401,89.64661693911019,0
-0.00033899026947059596,49682.86321694969,49445.123876088954,86.59952872531419,0
0.0005493756148444717,49695.74214463336,49471.504278997716,86.63985501571781,0
-0.0006355713826010634,49693.79424225556,49492.3458007928,80.63834425296405,0
0.0008694548863756868,49706.896682337145,49515.31688165518,81.64023472938366,0
1.2017272826847503e-05,49715.830861141476,49536.14962988126,79.17263750293114,0
0.0009118879796277124,49736.9041678444,49559.31771623359,75.47120599584218,0
-0.0007202138638108257,49739.00251814627,49576.85396499252,77.26112598851866,0
0.0003829826297705452,49746.751678764194,49594.53236945034,75.64022748687576,0
0.0004249895754311339,49758.96726500948,49612.53955648506,75.57158525267864,0
-0.0003705897815144965,49760.96124958966,49627.06932121946,63.65461197267459,0
-0.000424966524270709,49755.24109347644,49638.19669086877,54.294934000537815,0
0.0003939718305037143,49757.960208150966,49650.13045517197,60.22471910112359,0
0.0004461738084042821,49767.17399293398,49663.04204725421,59.91885644194932,-1
9.415372823617929e-07,49773.33214112266,49674.72669181138,61.56903132004604,-1
-0.0016108903121083706,49750.704500331776,49677.654425324814,51.45819831497084,1
0.0004356130784515244,49742.83685438785,49682.36626626862,50.73685075945985,1
0.005031445849212224,49820.99149667523,49710.46924294574,74.0022314001057,-1
-0.0017478247351200293,49843.97740403349,49727.570268179246,62.19944217926827,-1
-0.0020384710817019647,49825.40160268899,49733.35164371874,53.66629736782689,1
0.0006216169226676005,49823.33414137599,49741.530615619646,52.751600950932726,0
0.0013258097738579888,49843.97276091733,49755.22273866724,59.348569371963286,0
-0.0004740567101497728,49849.84902811156,49765.35711067601,56.49914142033607,0
1.7000180969617418e-05,49854.04909165771,49774.60650116376,55.31224570153563,0
0.0008884597917693249,49871.616061105145,49787.19470307542,59.20910433145774,-1
-0.0011191184058269021,49864.71018657009,49793.26308044839,56.65535472407114,0
-6.417574908923473e-05,49859.03986396339,49798.44852218755,55.34768236536012,0
2.907293160392399e-05,49855.74272180893,49803.277968320835,54.14015656653059,0
0.0001324307978556316,49855.745147872614,49808.27613127057,54.528524709302324,0
-0.00017950223895935036,49852.76369233174,49811.94569463144,60.057030416221984,1
0.0007382776963260618,49863.04298238782,49818.770987005286,60.89987049874308,1
0.000616435041512986,49880.14584242521,49827.875014075864,43.685493287775365,1
